epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,69651.1,0.29087,0.78101,0.385,0.19566,0.76692,0.99811,1,0.995,0.98619,0.99811,1,0.995,0.995,0.23536,0.77471,0.45713,0.15564,0.89725,0.0003862,0.0003862,0.0003862
95,70458.7,0.29444,0.7849,0.33286,0.20282,0.77423,0.99805,1,0.995,0.99108,0.99805,1,0.995,0.99269,0.23357,0.66524,0.59417,0.16864,0.9182,0.0003796,0.0003796,0.0003796
96,71237.9,0.29002,0.75269,0.34784,0.19706,0.75796,0.99809,1,0.995,0.98766,0.99809,1,0.995,0.99267,0.25413,0.64851,0.66267,0.1652,0.9394,0.000373,0.000373,0.000373
97,71983.3,0.27513,0.74298,0.26074,0.19221,0.76708,0.99801,1,0.995,0.995,0.99801,1,0.995,0.995,0.19663,0.64846,0.18591,0.15891,0.83651,0.0003664,0.0003664,0.0003664
98,72703.9,0.28164,0.76459,0.30123,0.19077,0.75439,0.99809,1,0.995,0.995,0.99809,1,0.995,0.995,0.17316,0.64195,0.16016,0.14617,0.79192,0.0003598,0.0003598,0.0003598
99,73479.8,0.29883,0.79045,0.33899,0.20227,0.78786,0.99811,1,0.995,0.97792,0.99811,1,0.995,0.995,0.28001,0.7287,1.03382,0.1778,1.01277,0.0003532,0.0003532,0.0003532
100,74171.2,0.2988,0.84068,0.33476,0.19975,0.78658,0.99809,1,0.995,0.995,0.99809,1,0.995,0.995,0.19498,0.78662,0.40801,0.14766,0.82926,0.0003466,0.0003466,0.0003466
101,74916.4,0.28175,0.78913,0.32658,0.19209,0.77312,0.99808,1,0.995,0.98682,0.99808,1,0.995,0.9931,0.25206,0.78307,0.8765,0.16268,0.9427,0.00034,0.00034,0.00034
102,75627.6,0.27454,0.71195,0.30276,0.18777,0.77751,1,1,0.995,0.995,1,1,0.995,0.995,0.20145,0.69151,0.4114,0.14633,0.85175,0.0003334,0.0003334,0.0003334
103,76439.7,0.27139,0.69654,0.29439,0.18762,0.76329,1,1,0.995,0.99326,1,1,0.995,0.995,0.1935,0.66382,0.42516,0.15412,0.85202,0.0003268,0.0003268,0.0003268
